Source,Target,weight,isDirectional
0,15,0.4405585918797694,True
0,20,0.4372547921100153,True
0,28,0.4316466993907765,True
0,30,0.4302815340356456,True
1,15,0.3771399527262185,True
1,20,0.4166629006454831,True
1,30,0.3820160174712193,True
1,38,0.3931644148916794,True
2,34,0.3467812430368682,True
3,6,0.4155188796400661,True
3,13,0.3854242092101066,True
3,20,0.3901573816102524,True
3,22,0.5193838523319112,True
3,27,0.3963280564787425,True
3,28,0.4194221851155699,True
3,29,0.3888646628949419,True
3,39,0.4137804986478047,True
4,5,0.450523678646595,True
4,15,0.4451104958800036,True
4,30,0.4263491746135065,True
5,4,0.4505236786465949,True
5,11,0.433277772794832,True
5,15,0.519605894947105,True
5,20,0.4680075463191643,True
5,25,0.4257585037589704,True
5,28,0.445949267908705,True
5,30,0.4667486040166948,True
5,38,0.4281941995433471,True
6,7,0.4349057147940318,True
6,14,0.4805540227171373,True
6,17,0.4439803083869831,True
6,21,0.4320122449482939,True
6,25,0.5520474327176947,True
6,28,0.4428866123268589,True
6,29,0.4667585517074668,True
6,31,0.4845857684580642,True
6,34,0.5599558979977,True
6,36,0.5192338851590078,True
6,38,0.4349371173866537,True
7,6,0.4349057147940318,True
7,9,0.4372930243425372,True
7,11,0.4508342992846829,True
7,20,0.4685245349585955,True
7,25,0.4796368041285764,True
7,30,0.4609062733910668,True
7,36,0.5004339968100415,True
7,38,0.4963151018204483,True
8,7,0.3836519251927893,True
8,11,0.4253065770987919,True
8,30,0.3846002597610124,True
9,7,0.4372930243425372,True
9,25,0.4221959998189542,True
9,36,0.4070946287457394,True
9,38,0.4187697145827007,True
10,5,0.3996392123510745,True
10,6,0.397366622017109,True
10,16,0.511814589303524,True
10,20,0.4286416358277242,True
10,21,0.394366563770667,True
10,28,0.4098078249097608,True
10,30,0.4528873518473065,True
11,5,0.4332777727948321,True
11,7,0.4508342992846829,True
11,8,0.4253065770987919,True
11,15,0.4410019176922264,True
11,17,0.4044475126886808,True
11,20,0.5068463048358606,True
11,28,0.4658182069126112,True
11,30,0.5169163799465091,True
11,38,0.461539368809518,True
12,20,0.4394468140584841,True
12,30,0.3780490376059258,True
13,6,0.4283317871521756,True
13,25,0.4085510868939857,True
13,27,0.4706863001862703,True
13,29,0.4373763382424449,True
13,36,0.4050565355272406,True
14,6,0.4805540227171374,True
14,17,0.4225076193057481,True
14,25,0.4577083094722905,True
14,29,0.4359363491341647,True
14,33,0.4162517142317129,True
14,34,0.4620219332753871,True
14,35,0.4452904982701532,True
14,36,0.5039198123176292,True
15,0,0.4405585918797694,True
15,4,0.4451104958800036,True
15,5,0.519605894947105,True
15,11,0.4410019176922264,True
15,20,0.4914906977121001,True
15,28,0.4767979793529786,True
15,30,0.4948487724927092,True
15,38,0.4048608200442133,True
16,10,0.511814589303524,True
16,11,0.3910782120635191,True
16,20,0.4291475074239835,True
16,30,0.425440949971151,True
16,38,0.4028277264870467,True
17,6,0.4439803083869832,True
17,7,0.4301296999665848,True
17,14,0.4225076193057481,True
17,20,0.4633043441235554,True
17,22,0.4134679462427773,True
17,25,0.4781093274019101,True
17,28,0.4063251986771045,True
17,30,0.4177269256174257,True
17,33,0.4164445209033025,True
17,36,0.4927732167264679,True
17,38,0.468398242517587,True
18,15,0.3830398017941753,True
18,17,0.3849031921126747,True
18,20,0.4342535949052355,True
18,30,0.4024838184996453,True
18,38,0.3897904192319282,True
19,36,0.3882031028818599,True
19,41,0.4208836302704105,True
20,0,0.4372547921100153,True
20,5,0.4680075463191643,True
20,7,0.4685245349585955,True
20,11,0.5068463048358605,True
20,12,0.4394468140584841,True
20,15,0.4914906977121,True
20,17,0.4633043441235555,True
20,22,0.4654901523320868,True
20,28,0.4921789809463736,True
20,30,0.5481068421757076,True
20,38,0.5388603488428783,True
21,6,0.4320122449482939,True
21,10,0.3943665637706671,True
21,25,0.4002244181265348,True
21,31,0.3554286923727647,True
21,34,0.3572888494350138,True
22,0,0.411578139919042,True
22,3,0.5193838523319113,True
22,6,0.4235512440275432,True
22,15,0.4010788587377598,True
22,17,0.4134679462427773,True
22,20,0.4654901523320868,True
22,28,0.4671970910540366,True
22,30,0.4218012764946157,True
22,34,0.4086456742631169,True
22,39,0.4397509106716568,True
23,25,0.3698795431276906,True
23,30,0.3738104671216338,True
24,20,0.3599138539200146,True
24,36,0.3575512931921221,True
25,5,0.4257585037589704,True
25,6,0.5520474327176946,True
25,7,0.4796368041285764,True
25,9,0.4221959998189542,True
25,14,0.4577083094722905,True
